date,LAT,LON
2021/2/20 21:00,48.43138004,-123.3762178
2021/2/20 22:00,48.43137946,-123.3762063
2021/2/20 23:00,48.43138016,-123.376227
2021/2/21 0:00,48.43137543,-123.3762098
2021/2/21 1:00,48.43139018,-123.3762089
2021/2/21 2:00,48.4313801,-123.3762298
2021/2/21 3:00,48.43137034,-123.3762
2021/2/21 4:00,48.43137893,-123.3762101
2021/2/21 5:00,48.43136115,-123.3762158
2021/2/21 6:00,48.43137015,-123.3762101
2021/2/21 7:00,48.43137228,-123.3762103
2021/2/21 8:00,48.43139066,-123.3762298
2021/2/21 9:00,48.43140035,-123.3762402
2021/2/21 10:00,48.43136167,-123.376218
2021/2/21 11:00,48.43136873,-123.3762286
2021/2/21 12:00,48.43137043,-123.376219
2021/2/21 13:00,48.43136076,-123.376229
2021/2/21 14:00,48.43173261,-123.375763
2021/2/21 15:00,48.43137164,-123.3762315
2021/2/21 16:00,48.43137014,-123.3762068
2021/2/21 17:00,48.43138003,-123.3762203
2021/2/21 18:00,48.43139455,-123.3762022
2021/2/21 19:00,48.43138109,-123.3761898
2021/2/21 20:00,48.43136995,-123.3762203
2021/2/21 21:00,48.43136979,-123.3762
2021/2/21 22:00,48.43137937,-123.376224
2021/2/21 23:00,48.43139979,-123.3762
2021/2/22 0:00,48.43138005,-123.3762
2021/2/22 1:00,48.43137996,-123.3762002
2021/2/22 2:00,48.4313811,-123.3762359
2021/2/22 3:00,48.43135962,-123.37619
2021/2/22 4:00,48.43136955,-123.3762104
2021/2/22 5:00,48.4313787,-123.3761895
2021/2/22 6:00,48.43137956,-123.376209
2021/2/22 7:00,48.43135845,-123.3762306
2021/2/22 8:00,48.43137002,-123.37621
2021/2/22 9:00,48.43134993,-123.3762285
2021/2/22 10:00,48.43136418,-123.3762249
2021/2/22 11:00,48.43137979,-123.3761999
2021/2/22 12:00,48.43136816,-123.3762124
2021/2/22 13:00,48.43138001,-123.3761899
2021/2/22 14:00,48.43137925,-123.3762106
2021/2/22 15:00,48.4319404,-123.3763848
2021/2/22 16:00,48.43252131,-123.3765531
2021/2/22 17:00,48.43302764,-123.3767003
2021/2/22 18:00,48.43346298,-123.3768273
2021/2/22 19:00,48.43383094,-123.3769351
2021/2/22 20:00,48.43413512,-123.3770248
2021/2/22 21:00,48.43437911,-123.3770973
2021/2/22 22:00,48.43456652,-123.3771536
2021/2/22 23:00,48.43470094,-123.3771948
2021/2/23 0:00,48.43478598,-123.3772218
2021/2/23 1:00,48.43482523,-123.3772356
2021/2/23 2:00,48.43482229,-123.3772372
2021/2/23 3:00,48.43478077,-123.3772277
2021/2/23 4:00,48.43470426,-123.377208
2021/2/23 5:00,48.43459636,-123.3771791
2021/2/23 6:00,48.43446067,-123.3771419
2021/2/23 7:00,48.43430079,-123.3770976
2021/2/23 8:00,48.43412033,-123.3770471
2021/2/23 9:00,48.43392287,-123.3769914
2021/2/23 10:00,48.43371203,-123.3769315
2021/2/23 11:00,48.43349139,-123.3768684
2021/2/23 12:00,48.43326456,-123.3768031
2021/2/23 13:00,48.43303515,-123.3767366
2021/2/23 14:00,48.43280674,-123.3766699
2021/2/23 15:00,48.43258293,-123.3766039
2021/2/23 16:00,48.43236734,-123.3765397
2021/2/23 17:00,48.43216355,-123.3764783
2021/2/23 18:00,48.43197517,-123.3764207
2021/2/23 19:00,48.43180579,-123.3763678
2021/2/23 20:00,48.43165902,-123.3763207
2021/2/23 21:00,48.43153846,-123.3762804
2021/2/23 22:00,48.4314477,-123.3762478
2021/2/23 23:00,48.43139035,-123.376224
2021/2/24 0:00,48.43137,-123.37621
2021/2/24 1:00,48.43134983,-123.3762424
2021/2/24 2:00,48.43137985,-123.3762109
2021/2/24 3:00,48.43136193,-123.3762088
2021/2/24 4:00,48.43138115,-123.3762005
2021/2/24 5:00,48.43137996,-123.3762195
2021/2/24 6:00,48.43136987,-123.3762301
2021/2/24 7:00,48.43137965,-123.3762198
2021/2/24 8:00,48.43138411,-123.3762188
2021/2/24 9:00,48.43136299,-123.3761983
2021/2/24 10:00,48.43137014,-123.3762287
2021/2/24 11:00,48.43139814,-123.3762194
2021/2/24 12:00,48.43136927,-123.3762107
2021/2/24 13:00,48.43138,-123.37619
2021/2/24 14:00,48.43136924,-123.3762099
2021/2/24 15:00,48.43139003,-123.3762202
2021/2/24 16:00,48.43137986,-123.3762226
2021/2/24 17:00,48.4313698,-123.376234
2021/2/24 18:00,48.43138295,-123.3762268
2021/2/24 19:00,48.4313795,-123.3761999
2021/2/24 20:00,48.43136976,-123.3762194
2021/2/24 21:00,48.43136215,-123.3762204
2021/2/24 22:00,48.43138,-123.3762
2021/2/24 23:00,48.43138019,-123.3762115
2021/2/25 0:00,48.43137923,-123.3761998
2021/2/25 1:00,48.43138048,-123.37624
2021/2/25 2:00,48.43137937,-123.3762106
2021/2/25 3:00,48.43137072,-123.3761932
2021/2/25 4:00,48.43137066,-123.3762076
2021/2/25 5:00,48.43138016,-123.37621
2021/2/25 6:00,48.43137997,-123.37621
2021/2/25 7:00,48.43138031,-123.3762004
2021/2/25 8:00,48.43136642,-123.376213
2021/2/25 9:00,48.43136998,-123.37623
2021/2/25 10:00,48.43138965,-123.3762103
2021/2/25 11:00,48.43137998,-123.3762302
2021/2/25 12:00,48.4313601,-123.3762203
2021/2/25 13:00,48.43138073,-123.3762102
2021/2/25 14:00,48.43137125,-123.3761993
2021/2/25 15:00,48.43138037,-123.3762073
2021/2/25 16:00,48.43137926,-123.3762169
2021/2/25 17:00,48.4313704,-123.37622
2021/2/25 18:00,48.43136083,-123.3762185
2021/2/25 19:00,48.43137999,-123.3762202
2021/2/25 20:00,48.43138974,-123.3762096
2021/2/25 21:00,48.43136875,-123.3762203
2021/2/25 22:00,48.4313689,-123.3762009
2021/2/25 23:00,48.43137992,-123.3762
2021/2/26 0:00,48.43137025,-123.3762113
2021/2/26 1:00,48.43138005,-123.3761978
2021/2/26 2:00,48.43136985,-123.3761997
2021/2/26 3:00,48.43138059,-123.3762016
2021/2/26 4:00,48.43137108,-123.376201
2021/2/26 5:00,48.43139009,-123.3761919
2021/2/26 6:00,48.43138004,-123.3762099
2021/2/26 7:00,48.43137969,-123.3761982
2021/2/26 8:00,48.43138146,-123.3762095
2021/2/26 9:00,48.43137932,-123.3762219
2021/2/26 10:00,48.43136856,-123.3762111
2021/2/26 11:00,48.43138952,-123.37622
2021/2/26 12:00,48.43140753,-123.3762036
2021/2/26 13:00,48.43136771,-123.3762306
2021/2/26 14:00,48.43138,-123.3762
2021/2/26 15:00,48.43136903,-123.376202
2021/2/26 16:00,48.43136958,-123.3762295
2021/2/26 17:00,48.4313803,-123.3761999
2021/2/26 18:00,48.43137098,-123.3762204
2021/2/26 19:00,48.43138,-123.3762107
2021/2/26 20:00,48.43137222,-123.3762176
2021/2/26 21:00,48.43136961,-123.3762203
2021/2/26 22:00,48.43139,-123.37621
2021/2/26 23:00,48.43138106,-123.3762109
2021/2/27 0:00,48.43136073,-123.3762097
2021/2/27 1:00,48.43136986,-123.37621
2021/2/27 2:00,48.43137972,-123.3762108
2021/2/27 3:00,48.43138002,-123.3761993
2021/2/27 4:00,48.43137995,-123.37621
2021/2/27 5:00,48.43137108,-123.3762295
2021/2/27 6:00,48.43138204,-123.3762203
2021/2/27 7:00,48.43139116,-123.3762009
2021/2/27 8:00,48.43137861,-123.3761995
2021/2/27 9:00,48.43139006,-123.3761899
2021/2/27 10:00,48.43136069,-123.3762101
2021/2/27 11:00,48.43117852,-123.3764181
2021/2/27 12:00,48.43135463,-123.3762151
2021/2/27 13:00,48.43137922,-123.3762189
2021/2/27 14:00,48.43136908,-123.3762075
2021/2/27 15:00,48.4313808,-123.376229
2021/2/27 16:00,48.4313702,-123.3762083
2021/2/27 17:00,48.43137125,-123.3762196
2021/2/27 18:00,48.43137781,-123.3762016
2021/2/27 19:00,48.43138056,-123.3762008
2021/2/27 20:00,48.4311068,-123.3762358
2021/2/27 21:00,48.43076005,-123.3761992
2021/2/27 22:00,48.43046913,-123.3760769
2021/2/27 23:00,48.43023152,-123.375874
2021/2/28 0:00,48.4300447,-123.3755958
2021/2/28 1:00,48.42990614,-123.3752475
2021/2/28 2:00,48.42981333,-123.3748344
2021/2/28 3:00,48.42976373,-123.3743616
2021/2/28 4:00,48.42975483,-123.3738345
2021/2/28 5:00,48.42978411,-123.3732582
2021/2/28 6:00,48.42984905,-123.372638
2021/2/28 7:00,48.42994711,-123.3719791
2021/2/28 8:00,48.43007579,-123.3712868
2021/2/28 9:00,48.43023255,-123.3705663
2021/2/28 10:00,48.43041488,-123.3698228
2021/2/28 11:00,48.43062025,-123.3690615
2021/2/28 12:00,48.43084614,-123.3682878
2021/2/28 13:00,48.43109003,-123.3675067
2021/2/28 14:00,48.4313494,-123.3667236
2021/2/28 15:00,48.43162172,-123.3659437
2021/2/28 16:00,48.43190447,-123.3651722
2021/2/28 17:00,48.43219513,-123.3644144
2021/2/28 18:00,48.43249119,-123.3636755
2021/2/28 19:00,48.4327901,-123.3629606
2021/2/28 20:00,48.43308936,-123.3622752
2021/2/28 21:00,48.43338645,-123.3616243
2021/2/28 22:00,48.43367883,-123.3610132
2021/2/28 23:00,48.43396399,-123.3604472
2021/3/1 0:00,48.4342394,-123.3599314
2021/3/1 1:00,48.43450254,-123.3594712
2021/3/1 2:00,48.4347509,-123.3590718
2021/3/1 3:00,48.43498195,-123.3587383
2021/3/1 4:00,48.43519316,-123.358476
2021/3/1 5:00,48.43538201,-123.3582902
2021/3/1 6:00,48.43554599,-123.3581861
2021/3/1 7:00,48.43568256,-123.3581689
2021/3/1 8:00,48.43578922,-123.3582438
2021/3/1 9:00,48.43586343,-123.3584162
2021/3/1 10:00,48.43590267,-123.3586911
2021/3/1 11:00,48.43590442,-123.3590739
2021/3/1 12:00,48.43586616,-123.3595698
2021/3/1 13:00,48.43578537,-123.360184
2021/3/1 14:00,48.43565952,-123.3609217
2021/3/1 15:00,48.4354861,-123.3617883
2021/3/1 16:00,48.43526258,-123.3627888
2021/3/1 17:00,48.43498643,-123.3639286
2021/3/1 18:00,48.43465514,-123.3652129
2021/3/1 19:00,48.43426618,-123.3666469
2021/3/1 20:00,48.43381704,-123.3682359
2021/3/1 21:00,48.43330518,-123.369985
2021/3/1 22:00,48.43272809,-123.3718996
2021/3/1 23:00,48.43208324,-123.3739848
2021/3/2 0:00,48.43136813,-123.3762458
2021/3/2 1:00,48.43137157,-123.376232
2021/3/2 2:00,48.43138107,-123.37621
2021/3/2 3:00,48.43138145,-123.3761897
2021/3/2 4:00,48.43139001,-123.3761802
2021/3/2 5:00,48.43137997,-123.3762201
2021/3/2 6:00,48.4313782,-123.3762226
2021/3/2 7:00,48.43137906,-123.3762099
2021/3/2 8:00,48.43137201,-123.3762145
2021/3/2 9:00,48.43135021,-123.3762057
2021/3/2 10:00,48.43136,-123.3762
2021/3/2 11:00,48.4313601,-123.3761918
2021/3/2 12:00,48.43133,-123.37618
2021/3/2 13:00,48.43139851,-123.3762262
2021/3/2 14:00,48.43136065,-123.37619
2021/3/2 15:00,48.43137029,-123.3762077
2021/3/2 16:00,48.43137027,-123.3762281
2021/3/2 17:00,48.43147954,-123.3762998
2021/3/2 18:00,48.43146921,-123.3762998
2021/3/2 19:00,48.43147753,-123.3763096
2021/3/2 20:00,48.43151,-123.37625
2021/3/2 21:00,48.43151043,-123.3762423
2021/3/2 22:00,48.43151134,-123.3762437
2021/3/2 23:00,48.43149909,-123.3762722
2021/3/3 0:00,48.43145279,-123.3763392
2021/3/3 1:00,48.43151,-123.37627
2021/3/3 2:00,48.43147422,-123.3763204
2021/3/3 3:00,48.43146999,-123.37631
2021/3/3 4:00,48.43148,-123.37629
2021/3/3 5:00,48.43146999,-123.3763209
2021/3/3 6:00,48.43148153,-123.3763001
2021/3/3 7:00,48.43147914,-123.3763021
2021/3/3 8:00,48.43148648,-123.3763037
2021/3/3 9:00,48.43149988,-123.37626
2021/3/3 10:00,48.43150974,-123.3762571
2021/3/3 11:00,48.43152627,-123.3762579
2021/3/3 12:00,48.43148996,-123.3762599
2021/3/3 13:00,48.43147968,-123.3763202
2021/3/3 14:00,48.43148,-123.37632
2021/3/3 15:00,48.43147,-123.3763
2021/3/3 16:00,48.43148012,-123.3762976
2021/3/3 17:00,48.43148042,-123.3763099
2021/3/3 18:00,48.43147053,-123.3763071
2021/3/3 19:00,48.4314723,-123.3763012
2021/3/3 20:00,48.43148992,-123.376278
